reject_date,symbol,sector,close_at_reject,market_cap_cr,trade_quality,confidence,top_reasons,close_5d,return_5d_pct,close_10d,return_10d_pct,close_20d,return_20d_pct,measured_at,notes
2026-07-16,GOODLUCK.NS,DIVERSIFIED,1573.0,5226.0,63.9,60.754999999999995,REGIME_NO_BUY,1554.1,-1.2,,,,,2026-07-21T19:21:48,
2026-07-16,GODREJPROP.NS,REALTY,2104.4,63342.0,65.2,56.45,ROE_TOO_LOW(8.8%<10%),2164.3,2.85,,,,,2026-07-21T19:22:00,
2026-07-16,GODREJIND.NS,DIVERSIFIED,1379.4,46363.0,53.7,53.24,DE_TOO_HIGH(2.22>1.50),1380.5,0.08,,,,,2026-07-21T19:22:05,
2026-07-16,GNA.NS,DIVERSIFIED,549.9,2357.0,38.7,56.75,REGIME_NO_BUY,509.8,-7.29,,,,,2026-07-21T19:22:00,
2026-07-16,GLENMARK.NS,PHARMA,2297.4,64822.0,71.7,58.31999999999999,REGIME_NO_BUY,2242.1,-2.41,,,,,2026-07-21T19:21:53,
2026-07-16,GLAXO.NS,DIVERSIFIED,2483.7,42073.0,59.1,65.88,REGIME_NO_BUY,2506.6,0.92,,,,,2026-07-21T19:21:43,
2026-07-16,GHCLTEXTIL.NS,DIVERSIFIED,112.33,0.0,64.7,18.38,REGIME_NO_BUY,117.25,4.38,,,,,2026-07-21T19:22:22,
2026-07-16,GCSL.NS,DIVERSIFIED,502.95,1215.0,58.1,64.97,REGIME_NO_BUY,513.8,2.16,,,,,2026-07-21T19:21:45,
2026-07-16,GANECOS.NS,DIVERSIFIED,1188.3,3183.0,64.8,20.43,REGIME_NO_BUY,1237.95,4.18,,,,,2026-07-21T19:22:18,
2026-07-16,GANDHAR.NS,DIVERSIFIED,206.82,2022.0,54.5,58.91,REGIME_NO_BUY,227.17,9.84,,,,,2026-07-21T19:21:51,
2026-07-16,GABRIEL.NS,DIVERSIFIED,1354.5,19458.0,66.6,52.165,REGIME_NO_BUY,1488.5,9.89,,,,,2026-07-21T19:22:05,
2026-07-16,FUSION.NS,DIVERSIFIED,228.12,0.0,55.9,17.445,ROE_TOO_LOW(0.7%<10%),227.77,-0.15,,,,,2026-07-21T19:22:22,
2026-07-16,FSL.NS,DIVERSIFIED,261.84,18509.0,57.9,44.39,REGIME_NO_BUY,266.05,1.61,,,,,2026-07-21T19:22:08,
2026-07-16,FLUOROCHEM.NS,DIVERSIFIED,4131.6,45440.0,72.9,42.48,ROE_TOO_LOW(7.8%<10%),4607.1,11.51,,,,,2026-07-21T19:22:10,
2026-07-16,FILATEX.NS,DIVERSIFIED,70.34,3121.0,51.1,31.630000000000003,REGIME_NO_BUY,71.3,1.36,,,,,2026-07-21T19:22:15,
2026-07-16,FEDDERSHOL.NS,DIVERSIFIED,44.77,901.0,58.6,51.94,REGIME_NO_BUY,51.86,15.84,,,,,2026-07-21T19:22:06,
2026-07-16,ETERNAL.NS,CONSUMER,294.8,284691.0,68.2,58.58,ROE_TOO_LOW(1.2%<10%),286.6,-2.78,,,,,2026-07-21T19:21:52,
2026-07-16,EMSLIMITED.NS,CAPITAL_GOODS,440.35,2448.0,52.4,57.33,ROE_TOO_LOW(8.9%<10%),421.75,-4.22,,,,,2026-07-21T19:21:57,
2026-07-16,EIMCOELECO.NS,CAPITAL_GOODS,1872.4,1081.0,63.2,69.13,"CONF_FAIL(got 69.1, need 70) | TQ_FAIL(got 63.2, need 68) | SECTOR_RANK_TOO_LOW(rank=8>top6)",1811.8,-3.24,,,,,2026-07-21T19:21:27,
2026-07-16,EIHOTEL.NS,DIVERSIFIED,339.0,21140.0,62.9,58.269999999999996,REGIME_NO_BUY,335.25,-1.11,,,,,2026-07-21T19:21:53,
2026-07-16,DIXON.NS,DIVERSIFIED,13651.0,83445.0,61.1,58.27000000000001,REGIME_NO_BUY,14118.0,3.42,,,,,2026-07-21T19:21:53,
2026-07-16,DIVISLAB.NS,PHARMA,7273.0,193164.0,74.0,54.39,REGIME_NO_BUY,7330.0,0.78,,,,,2026-07-21T19:22:03,
2026-07-16,DDEVPLSTIK.NS,DIVERSIFIED,291.35,0.0,60.5,55.27,REGIME_NO_BUY,286.55,-1.65,,,,,2026-07-21T19:22:01,
2026-07-16,DAMCAPITAL.NS,FINANCE,170.49,1208.0,69.6,43.81,"CONF_FAIL(got 43.8, need 70) | RR_FAIL(got 1.39, need 1.7) | SECTOR_RANK_TOO_LOW(rank=14>top6)",162.78,-4.52,,,,,2026-07-21T19:21:39,
2026-07-16,CYIENTDLM.NS,DIVERSIFIED,538.5,4283.0,59.4,45.38,ROE_TOO_LOW(7.5%<10%),623.0,15.69,,,,,2026-07-21T19:22:08,
2026-07-16,CUPID.NS,DIVERSIFIED,219.66,29526.0,41.5,31.72,REGIME_NO_BUY,211.25,-3.83,,,,,2026-07-21T19:22:15,
2026-07-16,CPPLUS.NS,CAPITAL_GOODS,3800.0,44687.0,63.7,65.78,"CONF_FAIL(got 65.8, need 70) | TQ_FAIL(got 63.7, need 68) | SECTOR_RANK_TOO_LOW(rank=8>top6)",3491.2,-8.13,,,,,2026-07-21T19:21:32,
2026-07-16,CNL.NS,DIVERSIFIED,903.95,1356.0,58.2,53.905,REGIME_NO_BUY,948.75,4.96,,,,,2026-07-21T19:22:04,
